"Index number","City","State","River","Jam date","Water year","Jam type","Latitude","Longitude","Gage number","Ahps id","Current condition","Damages"
"20200505205833","Tuluksak","AK","Kuskokwim River","04/30/2020","2020","Breakup","-160.997083","61.107673","-","-","released","-"
"20200505205730","Napaimiut","AK","Kuskokwim River","04/29/2020","2020","Breakup","-158.672193","61.539284","-","-","released","-"
"20200505205623","Sleetmute","AK","Kuskokwim River","04/29/2020","2020","Breakup","-157.177633","61.707859","-","-","released","-"
"20200505205401","Tok","AK","Tanana River","04/30/2020","2020","Breakup","-143.143973","63.396421","-","-","released","-"
"20200505205228","North Pole","AK","Tanana River","04/29/2020","2020","Breakup","-147.295128","64.714487","-","-","released","-"
"20200204221749","Winona","MN","Mississippi River","01/30/2020","2020","Unknown","-91.502288","44.016489","-","-","released","-"
"20200204221424","Newhalen","AK","Newhalen River","01/31/2020","2020","Unknown","-154.896943","59.715723","-","-","released","Some minor flooding was reported in residential areas."
"20200204220914","Scribner","NE","Elkhorn River","02/03/2020","2020","Unknown","-96.688187","41.708144","-","-","released","-"
"20200128184503","Fort Fairfield","ME","Aroostook River","01/22/2020","2020","Unknown","-67.833712","46.774168","-","-","released","-"
"20200128181616","Hogansburg","NY","St. Regis River","01/20/2020","2020","Freeze-up","-74.666561","44.96421","-","-","released","Minor residential flooding along with minor flooding in Jelly Beans Riverside Campground (no winter-time residents)."
"20200428210849","Crooked Creek","AK","Kuskokwim River","04/27/2020","2020","Breakup","-158.111389","61.869444","-","-","released","-"
"20200428210444","Olnes","AK","Chatanika River","04/24/2020","2020","Breakup","-147.74743","65.083247","-","-","released","-"
"20200428205807","Salcha","AK","Salcha River","04/23/2020","2020","Breakup","-146.932211","64.469261","-","-","released","-"
"20200428205446","Chicken","AK","Fortymile River","04/21/2020","2020","Breakup","-141.76597","64.057722","-","-","released","-"
"20200428205309","Fairbanks","AK","Chena River","04/23/2020","2020","Breakup","-147.6186","64.842503","-","-","released","-"
"20200428203801","Fairbanks","AK","Chena River","04/21/2020","2020","Breakup","-146.782026","64.861194","-","-","released","-"
"20200121221116","Virgelle","MT","Missouri River","01/11/2020","2020","Freeze-up","-110.250185","48.015308","-","-","released","-"
"20200219192630","Gillett","WI","Oconto River","02/14/2020","2020","Freeze-up","-88.3","44.864722","-","GILW3","released","-"
"20200219192316","Portage","WI","Wisconsin River","02/14/2020","2020","Freeze-up","-89.47383","43.53635","-","PORW3","released","-"
"20200219185651","Byron","IL","Rock River","02/14/2020","2020","Freeze-up","-89.255833","42.123056","-","BYRI2","released","-"
"20200219161457","Pembine","WI","Menominee River","02/16/2020","2020","Freeze-up","-87.786944","45.579444","-","PBIW3","released","-"
"20200219164630","Anoka","MN","Mississippi River","02/14/2020","2020","Freeze-up","-93.3944","45.1916","-","AKAM5","released","-"
"20200219155742","Fremont","NE","Platte River","02/15/2020","2020","Unknown","-96.528039","41.414403","-","-","released","-"
"20190226160805","Prophetstown","IL","Rock River","02/24/2019","2019","Unknown","-","-","-","-","Causing Flooding","-"
"20190212204913","Dorchester","IA","Upper Iowa River","02/12/2019","2019","Break-up","43.421111","-91.508611","-","-","Not Flooding","-"
"20190212204717","Royalton","MI","St. Joseph River","02/06/2019","2019","Break-up","42.05834167","-86.43978611","-","-","Causing Flooding","There is minor flooding that is occurring along that roadway and it potentially could be alleviated when the ice is free from the M-139 overpass.  7 houses are believed to currently be affected with basement/crawl space flooding."
"20190212204430","Avoca","PA","Mill Creek","02/07/2019","2019","Break-up","41.34479444","-75.74434722","-","-","Not Flooding","-"
"20190212204201","Rimer","PA","Allegheny River","02/08/2019","2019","Break-up","40.921593","-79.489064","-","-","Unknown","Section of Rimerton Road closed in Rimer, PA.
"
"20190212203407","Grand Island","NE","Platte River","02/07/2019","2019","Break-up","40.82041111","-98.34036389","-","-","Causing Flooding","-"
"20190212203158","Clinton","WI","Turtle Creek","02/07/2019","2019","Break-up","42.5974","-88.8289","-","-","Not Flooding","-"
"20190212202923","Twin Bridges","MT","Jefferson River","02/05/2019","2019","Break-up","45.614167","-112.329167","-","-","Causing Flooding","-"
"20190212202543","Rotterdam","NY","Mohawk River","02/08/2019","2019","Break-up","42.84867222","-74.010825","-","-","Unknown","-"
"20190212202302","North Platte","NE","North Platte River","02/07/2019","2019","Break-up","41.154167","-100.758889","-","-","Not Flooding","-"
"20190212202039","New Boston","NH","South Branch Piscataquog River","02/06/2019","2019","Break-up","43.001371","-71.662213","-","-","Not Flooding","-"
"20190212201928","Eastmanville","MI","Grand River","02/09/2019","2019","Break-up","43.015175","-85.95554167","-","-","Not Flooding","-"
"20190212201817","Portland","MI","Grand River","02/06/2019","2019","Break-up","42.870582","-84.903221","-","-","Causing Flooding","-"
"20190212201548","Sunset Bay","NY","Cattaraugus Creek","02/05/2019","2019","Break-up","42.567636","-79.133204","-","-","Unknown","-"
"20190212201410","Evans","NY","Big Sister Creek","02/05/2019","2019","Break-up","42.657499","-79.059016","-","-","Unknown","-"
"20190212200848","Bonaparte","IA","Des Moines River","02/05/2019","2019","Break-up","40.69597222","-91.80315833","-","-","Unknown","-"
"20190212204015","Stryker","OH","Tiffin River","02/03/2019","2019","Break-up","41.504444","-84.429722","-","-","Not Flooding","-"
"20190212203526","Lewellen","NE","North Platte River","02/10/2019","2019","Unknown","41.316944","-102.125556","-","-","Not Flooding","-"
"20190212202430","Monroe","MI","River Raisin","02/08/2019","2019","Break-up","41.913333","-83.385","-","-","Causing Flooding","-"
"20190212202153","Lancaster","NY","Ellicott Creek","02/05/2019","2019","Break-up","42.93366944","-78.643225","-","-","Unknown","-"
"20190212203804","Newville","IN","St. Joseph River","02/03/2019","2019","Break-up","41.385278","-84.801667","-","-","Not Flooding","-"
"20190212202817","Dodge","WI","Trempealeau River","02/09/2019","2019","Unknown","44.13175","-91.55302778","-","-","Not Flooding","-"
"20190212202702","Ballston Spa","NY","Kayaderosseras Creek","02/09/2019","2019","Break-up","43.00956111","-73.84416667","-","-","Released","-"
"20190212201652","Brownhelm","OH","Vermilion River","02/07/2019","2019","Break-up","41.386882","-82.326344","-","-","Not Flooding","-"
"20181218144621","Jamestown","WY","Green River","12/12/2018","2019","Freeze-up","41.55128333","-109.5181917","-","GRRW4","Unknown","-"
"20190416163639","Fort Fairfield","ME","Aroostook River","04/16/2019","2019","Break-up","-","-","-","-","Unknown","-"
"20190416163550","Crouseville","ME","Aroostook River","04/15/2019","2019","Break-up","-","-","-","WSHM1","Released","-"
"20190416163454","Washburn","ME","Aroostook River","04/15/2019","2019","Break-up","-","-","-","WSHM1","Released","-"
"20190409140828","Grand Forks","ND","Red River of the North ","04/07/2019","2019","Break-up","-","-","05082500","EGFM5","Unknown","-"
"20190409140657","Walhalla","ND","Pembina River","04/07/2019","2019","Break-up","-","-","-","WLHN8","Not Flooding","-"
"20190409140538","Neche","ND","Pembina River","04/08/2019","2019","Break-up","-","-","-","NCEN8","Not Flooding","-"
"20190409140359","Warren","MN","Snake River","04/08/2019","2019","Break-up","-","-","-","MKLM5","Not Flooding","-"
"20190409140153","Minto","ND","Forest River","04/03/2019","2019","Break-up","-","-","05085000","MTON8","Not Flooding","-"
"20190409130304","Franconia","NH","Gale River","03/31/2019","2019","Break-up","-","-","-","-","Not Flooding","-"
"20190226160530","Ennis","MT","Madison River","02/20/2019","2019","Freeze-up","-","-","-","-","Causing Flooding","-"
"20190130122919","Brattleboro","VT","Whetstone Brook","01/24/2019","2019","Break-up","42.86682222","-72.61438889","-","-","Not Flooding","Approximately 20 homes sustained damage and 75 people evacuated.  Flooding in parking lots, but no local businesses reported flooding."
"20190205221201","Naperville","IL","Du Page River","02/04/2019","2019","Break-up","41.76931111","-88.14691111","-","-","Released","-"
"20190205220606","Columbus","NE","Platte River","02/05/2019","2019","Break-up","41.39819722","-97.28140556","-","-","Causing Flooding","-"
"20190205220452","Waterville","OH","Maumee River","02/04/2019","2019","Break-up","41.500053","-83.71271","-","-","Not Flooding","-"
"20190205220400","Painesville","OH","Grand River","02/04/2019","2019","Break-up","41.718889","-81.228056","-","-","Not Flooding","-"
"20190205220230","Augusta","IA","Skunk River","02/04/2019","2019","Break-up","40.753611","-91.276944","-","-","Causing Flooding","-"
"20190205215753","Houston","MN","Root River","02/04/2019","2019","Break-up","43.768611","-91.569722","-","-","Not Flooding","-"
